id_lote,fecha_hora,tipo_grano,nivel_tostado_objetivo,tamano_lote_kg,humedad_inicial_pct,densidad_grano_g_cm3,tamano_grano_mm,temp_precalentamiento_c,nivel_gas_pct,flujo_aire_pct,velocidad_tambor_rpm,duracion_tostado_min,temp_promedio_secado_c,temp_promedio_maillard_c,temp_promedio_desarrollo_c,temp_final_c,tiempo_primer_crack_min,tiempo_segundo_crack_min,temp_ambiente_c,humedad_pct,tasa_calor_c_por_min,energia_total_unidades,perdida_peso_pct,peso_final_kg,puntaje_color_agtron,puntaje_aroma,puntaje_cuerpo,puntaje_acidez,puntaje_calidad_general,conteo_defectos,aprobacion_calidad,anomalia_proceso
1,1998-04-09 18:28:40.865794,Mezcla,Ligero,107.45,11.29,1.397,7.72,201.5,48.6,95.8,71.1,14.68,202.7,204.6,206.5,207.7,6.31,,21.3,64.8,0.42,767.5,12.75,93.75,72.7,4.92,4.84,4.75,5.71,1,0,1
2,1998-04-10 18:28:40.865999,Arabiga,Ligero,108.97,15.34,1.359,6.6,197.3,67.8,89.5,67.3,11.05,197.8,198.6,199.4,199.9,6.47,,20.7,59.9,0.24,816.1,10.09,97.97,91.4,7.7,7.67,8.03,8.72,1,1,0
3,1998-04-11 18:28:40.866120,Mezcla,Oscuro,111.08,11.76,1.283,6.26,182.8,66.4,75.4,73.5,16.69,191.5,204.5,217.5,226.2,10.34,13.8,19.6,72.2,2.6,1230.1,17.04,92.15,40.4,7.42,7.66,6.91,8.28,1,1,0
4,1998-04-12 18:28:40.866214,Arabiga,Oscuro,77.38,13.15,1.273,6.17,222.7,64.2,88.3,67.4,13.92,225.1,228.7,232.2,234.6,9.33,12.63,37.0,66.8,0.86,691.9,17.9,63.53,18.0,9.07,9.47,9.39,10.0,0,1,0
5,1998-04-13 18:28:40.866318,Arabiga,Ligero,101.31,11.05,1.314,4.91,201.7,79.3,94.8,60.9,10.79,201.9,202.1,202.3,202.5,7.39,,27.6,49.4,0.07,866.4,10.53,90.63,84.2,8.02,7.93,8.51,9.33,1,1,0
6,1998-04-14 18:28:40.866411,Mezcla,Oscuro,94.48,13.41,1.256,4.38,210.2,94.5,55.7,68.6,15.67,215.4,223.1,230.9,236.1,7.38,12.37,36.2,59.6,1.65,1399.1,18.72,76.8,17.7,3.71,3.08,3.75,4.48,2,0,1
7,1998-04-15 18:28:40.866494,Mezcla,Oscuro,82.47,13.21,1.413,7.13,191.4,91.8,66.0,69.7,20.38,199.1,210.7,222.3,230.0,11.66,17.42,21.0,29.0,1.9,1543.5,18.92,66.86,28.7,5.78,6.08,5.53,6.97,1,0,0
8,1998-04-16 18:28:40.866577,Arabiga,Medio,86.72,10.96,1.383,7.34,212.9,91.4,105.4,62.4,13.69,212.9,212.8,212.8,212.8,9.41,12.94,18.1,72.4,-0.01,1084.8,13.47,75.04,64.9,7.3,6.56,6.85,7.96,0,1,0
9,1998-04-17 18:28:40.866673,Arabiga,Ligero,81.75,13.07,1.499,7.09,190.7,66.0,68.7,71.2,13.9,194.0,198.9,203.8,207.1,9.28,,18.1,62.9,1.18,749.9,12.4,71.61,73.4,7.54,8.12,7.62,9.01,0,1,0
10,1998-04-18 18:28:40.866784,Robusta,Medio,118.14,12.31,1.71,6.58,227.7,74.6,70.4,92.8,14.06,226.0,223.5,221.0,219.3,8.31,12.69,21.4,75.5,-0.6,1239.2,14.88,100.56,49.8,8.12,8.36,8.49,9.56,0,1,1
11,1998-04-19 18:28:40.866938,Robusta,Ligero,103.46,10.29,1.459,6.54,218.1,97.5,66.0,76.1,13.36,214.9,210.0,205.2,202.0,8.32,,27.1,60.5,-1.21,1347.8,11.2,91.87,80.7,2.77,3.31,2.89,3.85,5,0,1
12,1998-04-20 18:28:40.867039,Robusta,Oscuro,105.36,10.88,1.312,5.79,200.0,93.7,81.3,69.4,13.46,209.4,223.5,237.6,246.9,9.92,12.8,31.6,60.3,3.49,1329.0,20.23,84.05,-2.4,6.52,6.35,6.71,7.29,1,1,0
13,1998-04-21 18:28:40.867122,Arabiga,Oscuro,112.99,9.7,1.25,6.12,195.2,96.2,84.0,54.9,17.84,205.3,220.4,235.5,245.6,11.73,13.64,21.1,85.3,2.83,1938.3,21.27,88.95,0.1,6.6,6.67,6.68,7.22,0,1,0
14,1998-04-22 18:28:40.867239,Arabiga,Medio,111.62,10.11,1.291,3.91,189.6,53.2,67.5,78.1,15.41,195.3,203.7,212.2,217.8,7.24,11.52,13.5,83.3,1.83,914.7,14.98,94.9,54.7,5.49,6.1,5.55,6.63,0,0,1
15,1998-04-23 18:28:40.867345,Mezcla,Oscuro,109.93,13.88,1.114,8.21,175.7,73.2,85.9,67.2,14.75,187.4,204.8,222.3,234.0,8.36,11.95,31.8,67.1,3.95,1187.0,18.02,90.12,19.6,8.21,8.35,8.28,9.58,0,1,0
16,1998-04-24 18:28:40.867453,Robusta,Oscuro,91.6,12.62,1.392,6.48,206.8,94.8,67.9,69.4,15.6,212.2,220.3,228.5,233.9,10.46,14.08,31.5,86.1,1.74,1354.2,18.26,74.87,27.9,3.19,4.0,3.77,4.59,0,0,1
17,1998-04-25 18:28:40.867550,Mezcla,Ligero,115.98,8.81,1.233,7.46,187.1,84.2,86.7,59.4,11.99,188.6,190.8,193.0,194.5,8.96,,22.5,76.1,0.63,1171.2,9.31,105.19,105.0,7.24,6.62,7.25,7.82,0,1,0
18,1998-04-26 18:28:40.867646,Arabiga,Ligero,108.39,12.81,1.473,6.12,195.0,91.3,59.6,77.6,11.55,197.0,200.0,203.0,205.0,6.25,,24.6,85.4,0.86,1142.9,11.26,96.18,80.3,7.17,6.58,7.23,7.95,2,1,0
19,1998-04-27 18:28:40.867760,Robusta,Medio,114.75,12.21,1.308,8.32,211.1,69.8,98.6,74.6,16.72,212.8,215.3,217.8,219.4,11.01,12.76,31.3,56.8,0.5,1339.9,15.71,96.73,45.4,8.15,8.66,7.76,9.24,0,1,0
20,1998-04-28 18:28:40.867870,Robusta,Ligero,105.44,12.36,1.446,7.09,227.1,83.4,78.7,64.4,11.58,223.0,216.8,210.6,206.5,5.85,,27.7,58.3,-1.79,1018.0,11.57,93.24,77.9,8.72,8.86,9.08,9.63,0,1,0
21,1998-04-29 18:28:40.867965,Arabiga,Oscuro,103.89,11.95,1.527,6.75,200.3,55.8,66.3,69.3,18.12,208.8,221.5,234.2,242.7,10.04,15.1,26.9,100.9,2.34,1050.7,20.78,82.3,9.2,6.48,6.96,7.22,7.86,2,1,0
22,1998-04-30 18:28:40.868094,Mezcla,Oscuro,122.34,12.82,1.235,6.23,179.0,92.3,88.9,63.9,11.48,185.1,194.1,203.1,209.1,9.35,15.27,32.9,66.6,2.62,1296.7,12.07,107.57,71.5,1.0,1.0,1.0,1.0,5,0,1
23,1998-05-01 18:28:40.868230,Mezcla,Oscuro,83.48,12.23,1.412,6.27,235.8,71.2,75.5,61.2,14.37,235.1,234.0,232.9,232.2,7.19,12.02,25.5,14.3,-0.25,853.7,17.55,68.83,25.7,8.76,7.97,7.92,9.35,1,1,0
24,1998-05-02 18:28:40.868328,Robusta,Medio,98.32,11.17,1.392,7.11,197.0,68.1,77.2,46.6,11.73,203.0,211.9,220.9,226.8,8.68,9.72,29.6,66.2,2.54,785.1,15.69,82.89,39.7,8.19,8.11,8.4,9.14,0,1,0
25,1998-05-03 18:28:40.868411,Mezcla,Oscuro,88.65,9.37,1.203,5.63,230.3,85.6,79.9,76.8,16.15,230.4,230.5,230.6,230.7,11.22,14.27,16.7,56.2,0.02,1225.7,17.79,72.89,24.5,7.94,7.3,7.69,8.79,1,1,0
26,1998-05-04 18:28:40.868511,Mezcla,Medio,94.58,11.14,1.231,6.0,199.3,70.0,71.7,60.6,10.25,204.1,211.3,218.6,223.4,6.54,8.62,26.9,65.5,2.36,678.7,14.56,80.81,41.6,7.95,8.24,7.75,9.02,2,1,0
27,1998-05-05 18:28:40.868640,Arabiga,Ligero,91.53,10.0,1.342,4.31,198.1,71.3,64.8,71.4,10.29,199.8,202.2,204.7,206.3,8.96,,12.1,57.0,0.8,671.8,11.16,81.32,75.5,8.81,7.89,8.56,9.38,0,1,0
28,1998-05-06 18:28:40.868757,Robusta,Medio,111.4,13.16,1.416,5.92,241.5,53.8,69.7,66.4,14.13,237.7,232.0,226.3,222.4,10.06,11.89,25.9,48.1,-1.35,846.5,15.53,94.1,38.5,8.34,7.69,7.84,9.01,0,1,0
29,1998-05-07 18:28:40.868867,Arabiga,Oscuro,105.41,11.09,1.442,6.3,224.5,66.9,57.7,73.4,14.31,225.0,225.8,226.6,227.1,8.6,11.93,31.6,77.8,0.18,1009.1,16.51,88.0,36.8,6.46,6.77,7.07,7.9,1,1,0
30,1998-05-08 18:28:40.869040,Robusta,Ligero,93.77,12.45,1.641,6.65,208.7,69.5,71.5,71.6,10.72,208.1,207.0,206.0,205.4,5.95,,28.8,66.7,-0.31,698.2,11.09,83.37,77.8,8.63,9.34,9.07,9.97,0,1,0
31,1998-05-09 18:28:40.869164,Robusta,Oscuro,93.34,12.07,1.414,5.76,218.0,91.3,84.1,80.0,14.45,220.2,223.4,226.6,228.8,6.89,13.78,30.2,58.9,0.74,1231.1,16.89,77.57,29.1,7.93,7.08,7.02,8.45,1,1,0
32,1998-05-10 18:28:40.869296,Robusta,Ligero,126.73,12.39,1.333,6.85,208.8,61.3,66.6,80.1,12.28,208.1,207.1,206.2,205.5,7.28,,31.2,110.8,-0.27,954.0,11.58,112.05,81.6,9.0,8.72,8.25,9.56,0,1,0
33,1998-05-11 18:28:40.869411,Mezcla,Oscuro,65.19,11.16,1.394,7.52,192.7,57.0,77.4,56.0,15.7,201.2,213.8,226.5,235.0,8.1,14.15,23.7,81.6,2.69,583.1,18.5,53.13,17.7,8.71,8.06,8.55,9.22,0,1,0
34,1998-05-12 18:28:40.869493,Mezcla,Medio,97.53,11.5,1.324,5.96,207.2,65.6,86.7,64.1,14.23,212.4,220.0,227.7,232.8,7.43,13.49,3.7,18.4,1.8,910.7,17.64,80.33,20.1,6.29,5.61,5.52,6.97,1,0,0
35,1998-05-13 18:28:40.869618,Robusta,Medio,88.33,9.83,1.563,7.25,224.1,83.7,68.7,60.8,14.73,222.0,219.0,215.9,213.9,9.55,12.28,22.0,74.2,-0.69,1088.8,14.0,75.97,57.2,7.42,7.88,7.79,8.59,1,1,0
36,1998-05-14 18:28:40.869699,Arabiga,Oscuro,126.47,9.64,1.178,7.55,178.7,84.1,65.9,75.0,11.66,188.2,202.5,216.7,226.2,6.45,10.88,24.8,53.3,4.08,1239.9,15.54,106.81,35.7,7.4,7.12,7.03,8.17,0,1,0
37,1998-05-15 18:28:40.869814,Arabiga,Ligero,93.73,9.57,1.315,5.2,213.3,103.7,58.4,61.2,12.79,213.2,213.2,213.1,213.1,9.24,,17.0,70.2,-0.01,1243.4,13.26,81.3,63.9,1.4,1.76,1.62,2.51,2,0,1
38,1998-05-16 18:28:40.869894,Mezcla,Medio,86.15,9.47,1.154,7.34,190.8,106.6,84.9,66.5,12.71,197.3,207.1,217.0,223.5,7.05,10.93,45.5,58.1,2.58,1167.4,15.31,72.96,40.9,8.02,7.37,7.6,8.6,0,1,0
